,name,ori_price,discount,dis_price
0,"Striped Men Hooded Neck Black, Red T-Shirt",₹999,75% off,₹245
1,Abstract Men Hooded Neck Dark Blue T-Shirt,₹899,57% off,₹379
2,"Solid Men Polo Neck Black, White T-Shirt","₹1,299",63% off,₹479
3,"Printed, Graphic Print Men Round or Crew Grey T-Shirt",₹899,53% off,₹417
4,PerfectFit Solid Men Henley Multicolor T-Shirt,"₹1,999",61% off,₹763
5,Striped Men Hooded Neck Maroon T-Shirt,₹999,75% off,₹246
6,Solid Men Round Neck Multicolor T-Shirt,"₹2,999",80% off,₹599
7,"Color Block Men Hooded Neck Yellow, White, Blue T-Shirt","₹1,999",77% off,₹449
8,Graphic Print Men Round or Crew Orange T-Shirt,₹849,66% off,₹284
9,Printed Men Round Neck Reversible White T-Shirt,"₹1,100",75% off,₹269
10,"Checkered Men Polo Neck Grey, Black T-Shirt",₹899,68% off,₹284
11,Military Camouflage Women Hooded Green T-Shirt,₹949,53% off,₹437
12,"Printed Women Round Neck Pink, White T-Shirt",₹929,68% off,₹297
13,Striped Men Round or Crew Green T-Shirt,"₹1,299",55% off,₹575
14,Color block Men Hooded Multicolor T-Shirt,"₹1,999",77% off,₹449
15,"Striped Men Hooded Neck Blue, Grey T-Shirt",₹999,75% off,₹246
16,"Checkered Men Polo Neck Red, Black T-Shirt",₹899,68% off,₹284
17,Solid Men Hooded Grey T-Shirt,₹599,54% off,₹274
18,"Striped Men Round or Crew Black, White T-Shirt",₹999,71% off,₹288
19,Self Design Men Polo Neck Green T-Shirt,"₹1,799",56% off,₹789
20,Striped Men Round Neck Red T-Shirt,₹899,69% off,₹270
21,Solid Men Round Neck Black T-Shirt,₹599,59% off,₹242
22,Printed Men Round Neck Dark Blue T-Shirt,₹899,62% off,₹341
23,Applique Men Round or Crew White T-Shirt,₹999,53% off,₹464
24,"Solid Men V-Neck Green, Grey, Black, Dark Blue T-Shirt","₹2,999",77% off,₹689
25,Printed Men Round Neck Dark Blue T-Shirt,"₹1,249",68% off,₹399
26,Color Block Men Round Neck Black T-Shirt,₹999,60% off,₹399
27,"Color block Men Round or Crew Blue, White T-Shirt",₹999,60% off,₹399
28,Printed Men V-Neck Multicolor T-Shirt,₹899,72% off,₹246
29,Solid Men Polo Neck Dark Blue T-Shirt,"₹1,299",65% off,₹454
30,"Striped Men Round Neck Light Green, Black T-Shirt","₹1,499",70% off,₹449
31,"PerfectFit Solid Men Hooded Black, Red T-Shirt",₹999,67% off,₹323
32,Solid Men Hooded Black T-Shirt,₹459,57% off,₹197
33,Embroidered Men Round Neck White T-Shirt,"₹1,199",51% off,₹585
34,Self Design Men V-neck Blue T-Shirt,₹999,60% off,₹399
35,Solid Men Round Neck Multicolor T-Shirt,"₹2,999",80% off,₹599
36,"Solid Men Hooded Neck Grey, Red, Black T-Shirt","₹1,999",77% off,₹449
37,"Broad Stripes Men Round Neck Yellow, Black T-Shirt","₹1,499",70% off,₹449
38,Color Block Men V Neck Multicolor T-Shirt,"₹2,499",73% off,₹664
39,Self Design Men Polo Neck Grey T-Shirt,"₹1,599",51% off,₹775
